Title,Episode Number,Seasons,Release Date,Last Watched,Ends on Cliffhanger,Rating,Genre,Sub-Genre,Themes
Re:Monster,,,2024,4/10/2024,No,5,Action,Fantasy,"Isekai, Reincarnation"
The Apothecary Diaries,24,2,2023,02/17/24,No,5,Drama ,Mystery,"Historical, Medical"
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!,12,1,2024,02/07/24,Yes,5,Fantasy,Romance,Time Travel
Fluffy Paradise,12,1,2024,02/05/24,,5,Adventure,Fantasy,"Isekai, Reincarnation"
Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,12,1,2024,02/06/24,,4,Boys Love,Comedy,"Adult Cast, Workplace"
The Weakest Tamer Began a Journey to Pick Up Trash,12,1,2024,02/03/24,,4,Adventure,Fantasy,"Isekai, Reincarnation"
The Wrong Way to Use Healing Magic,13,1,2024,02/01/24,,4,Action,Fantasy,Isekai
The Unwanted Undead Adventurer,12,1,2024,02/01/24,,4,Action,Fantasy,Reincarnation
Tales of Wedding Rings,12,1,2024,01/17/24,,4,Action,Fantasy,"Isekai, Harem"
A Playthrough of a Certain Dude's VRMMO Life,12,1,2023,11/23/23,,4,Action,Comedy,Video Game
Am I actually the Strongest?,12,1,2023,10/23/23,,4,Adventure,Fantasy,"Isekai,Reincarnation"
Assassins Pride,12,1,2019,01/26/24,,3,Fantasy,,
Solo Leveling,12,2,2024,01/18/24,,3,Action,Adventure,Adult Cast
Vinland Saga,48,2,2023,01/17/24,,3,Action,Drama,"Gore, Historical"
The Foolish Angel Dances with the Devil,12,1,2024,01/17/24,,3,Comedy,Supernatural,"Mythology, School"
In/Spectre,12,1,2020,12/01/23,,3,Mystery,Romance,"Adult Cast, Mythology"
The Kingdoms of Ruin,12,1,2023,11/25/23,,3,Action,Drama,Gore
Shangri-La Frontier,25,1,2024,11/23/23,,3,Action,Adventure,Video Game
Berserk of Gluttony,12,1,2023,11/23/23,,3,Action,Fantasy,
The Saint's Magic Power is Omnipotent,12,1,2021,11/01/23,,3,fantasy,Romance,"isekai, Medical"
Kamigami no Asobi,12,1,2014,01/22/24,,2,Fantasy,Romance,"Isekai, Reverse Harem"
Hanasakeru Seishonen,39,3,2010,01/22/24,,2,Drama ,Romance,Reverse Harem
Mashle: Magic and Muscles,,,,01/20/24,,2,,,
Goblin Slayer,,,,12/01/23,,2,,,
Classroom of the Elite,,,,02/01/24,,1,,,
"Shachibato! President, It's Time for Battle!",,,,01/23/24,,1,,,
Vivy -Fluorite Eye's Song-,,,,01/23/24,,1,,,
Bucchigiri!,,,,02/04/24,,0,,,
The Demon Prince of Momochi House,,,,02/01/24,,0,,,
Horimiya,,,,01/26/24,,0,,,
Heaven's Official Blessing,,,,12/24/23,,0,,,
Frieren: Beyond Journey's End,,,,12/08/23,,0,,,
Why Raeliana Ended Up at the Duke's Mansion,,,,11/28/23,,0,,,
Girlfriend Girlfriend,,,,11/27/23,,0,,,
The Hidden Dungeon Only I can Enter,,,,10/15/23,,0,,,
My Unique Skill Makes Me OP even at Level 1,,,,02/17/24,,5,,,
Skip Beat!,,,,01/24/24,,5,,,
Eyeshield 21,,,,01/24/24,,5,,,
By The Grace of the Gods,,,,01/02/24,,5,,,
I'm in love with the villianess,,,,12/21/23,,5,,,
Overlord,,,,10/14/23,,5,,,
Campfire Cooking in Another World with My Absurd Skill,,,,01/20/24,,4,,,
"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside",,,,01/17/24,,4,,,
My Love Story with Yamada-kun at Lv999,,,,01/14/24,,4,,,
A Returner's Magic Should Be Special,,,,01/13/24,,4,,,
Suppose a Kid from the Last Dungeon Boonies moved to a starter town,,,,11/26/23,,4,,,
The Misfit of Demon Academy,,,,11/22/23,,4,,,
Mushoku Tensei: Jobless Reincarnation,,,,10/27/23,,4,,,
Welcome to Demon School! Iruma-kun,,,,10/15/23,,4,,,
The God of Highschool,,,,01/11/24,,3,,,
Talentless Nana,,,,11/30/23,,3,,,
Our Love Story: The experienced you and the inexperencied me,,,,11/29/23,,3,,,
